#{"t_start": 1698025728.808209, "env_id": null}
r,l,t
-139.210605,15,493.040394
-435.162648,27,493.236086
-207.804641,25,493.521791
-27.178943,10,493.763762
-61.146093,14,493.880349
-12.873141,6,494.045734
-515.515917,56,494.162329
-199.936612,20,494.749413
-779.393808,67,495.016834
-2750.652803,137,495.829565
-1812.616232,109,497.282737
-332.352789,41,498.401377
-223.032098,33,498.835104
-200.248009,19,499.210008
-503.025128,54,499.43959
-934.99499,74,499.498593
-119.963443,27,499.519597
-220.585451,27,499.541182
-313.013923,33,499.566217
-1467.774653,95,499.71471
-2155.561976,120,500.890782
-668.736277,65,502.260641
-199.095577,20,503.020246
-2266.860829,122,503.324211
-20.898809,9,504.662371
-1405.550305,94,504.830183
-4.102038,4,505.830799
-342.385617,24,505.891569
-111.945332,15,506.141258
-137.75668,19,506.307804
-351.845339,24,506.55089
-405.21244,26,506.801385
-156.931954,22,507.071222
-129.804669,16,507.293317
-533.295324,31,507.515295
-97.611699,17,507.829211
-96.762875,18,508.005285
-62.044263,21,508.19768
-23.428342,12,508.450999
-258.003695,21,508.58661
-19.10547,9,508.811151
-59.312957,14,508.928635
-34.200573,9,509.112737
-260.295849,23,509.228295
-114.596759,18,509.482874
-1025.815176,81,509.734491
-27.160901,10,510.562195
-179.296508,18,510.67278
-193.149752,18,510.855525
-322.348093,24,511.054711
-2505.131721,131,511.419183
-614.978914,34,512.779124
-119.904956,15,513.130017
-422.518066,27,513.290361
-1659.891179,107,513.692153
-365.101742,51,514.76441
-439.291807,29,515.282064
-60.547449,14,515.577646
-302.120151,23,515.7572
-219.121174,25,516.04645
-2415.194197,131,516.425954
-377.01161,49,517.790395
-1145.345019,89,518.371303
-355.476426,24,519.301461
-90.852845,16,519.564216
-92.782938,13,519.750356
-265.49759,22,519.928917
-61.160138,11,520.151268
-930.932981,79,520.335089
-35.408248,13,521.115252
-287.847971,24,521.317295
-148.31259,21,521.567989
-18.604522,8,521.79815
-1123.661492,68,521.934708
-2857.713045,128,522.748132
-49.856358,13,524.07206
-350.038932,50,524.25709
-14.03038,7,524.763076
-1648.180801,101,524.95421
-841.183114,76,526.016209
-209.727817,38,526.825261
-352.299443,49,527.241685
-178.820511,23,527.806448
-13.847705,8,528.062049
-188.968328,32,528.181566
-353.426021,24,528.536206
-123.628863,18,528.840469
-1268.001514,81,529.088969
0.818487,1,529.879276
-2904.641243,133,530.031488
-2035.433947,118,531.489139
-104.355087,15,532.70729
-184.627366,19,532.722286
-1104.191862,82,532.79581
-632.272106,64,532.852469
-2065.252655,118,532.945487
-64.219775,11,532.963988
-206.210192,25,533.705692
-175.326041,17,533.979911
-2502.777084,131,534.279579
-228.425999,23,535.803983
-493.433387,30,536.075449
-306.254385,48,536.453673
-1861.173717,110,537.189959
-421.856903,28,538.291284
-173.373701,35,538.617738
-267.973174,36,539.006482
-455.397637,52,539.436142
-117.711599,15,539.984236
-260.971571,22,540.147793
-22.746809,9,540.387075
-242.173328,22,540.533669
-2541.91161,129,540.875865
-922.863226,78,542.234954
-248.613602,21,543.014651
-241.031482,26,543.27561
-1762.695465,105,543.637993
-1890.106395,114,544.776562
-91.414806,15,545.899968
-168.807788,17,546.092151
-95.169208,14,546.262622
-996.882594,84,546.469175
-232.617299,26,547.298325
-34.813978,9,547.583381
-336.146749,24,547.70698
-81.544543,16,547.972649
-659.933719,33,548.169043
-282.109534,28,548.534617
0.076135,2,548.812793
-523.152776,34,548.865317
-2149.322799,118,549.328154
-219.438217,21,550.566383
-228.184037,36,550.816505
-5.444084,4,551.196935
-2101.058758,121,551.38298
-1543.924149,103,552.691518
-2044.557175,118,553.781258
-413.136803,49,555.000409
-178.11077,17,555.481207
-597.044643,33,555.698268
-2563.378035,129,556.181771
-114.514879,15,557.444593
-283.904152,30,557.614631
-87.301913,24,557.969023
-99.34382,23,558.251006
-8.371942,5,558.495395
-139.559772,16,558.552356
-1832.117896,107,558.827639
-569.267137,32,559.93058
-2215.05487,122,560.361879
-1150.436019,91,561.657943
-32.371701,10,562.573264
-404.896379,42,562.711255
-145.984926,33,563.136248
-1143.066605,92,563.551386
-6.241939,6,564.487482
-696.201845,70,564.605043
-55.501778,11,565.31961
-141.587197,34,565.47331
-5.586951,5,565.835733
-67.341213,23,565.907824
-9.467542,6,566.133735
-40.334192,11,566.206214
-7.008127,5,566.364837
-172.112,22,566.435359
-247.505852,27,566.703509
-467.467316,57,566.74751
-423.799951,28,566.77055
-255.715229,24,566.790097
-389.09705,52,566.834201
-409.11758,53,566.941668
-347.071637,25,567.741485
-400.501616,27,568.078973
-176.59311,23,568.452201
-122.722983,19,568.711885
-49.592452,12,568.914075
-595.417178,33,569.09104
-177.429013,24,569.48749
-229.656984,26,569.761297
-1953.136179,113,570.130956
-881.403776,73,571.443733
-239.124849,26,572.206428
-66.23811,14,572.496084
-207.59596,20,572.656569
-1370.26189,95,572.960119
-107.485348,18,573.91952
-207.633374,19,574.118846
-191.915857,24,574.324953
-172.154986,20,574.623567
-543.653559,32,574.849916
-564.357217,58,575.217399
-7.794491,5,575.811023
-1198.544865,90,575.997647
-538.892963,31,576.891306
-1076.413106,78,577.257289
-1083.399899,86,578.104101
